GRB;PII;OI;ZnII;SII;SiII;MgII;MnII;CrII;NiII;FeII;TiII;AlII;CI;H2 total;H2J0;H2J1;H2J2
090809A;;;;;;;;;;;;;;;;;
090926A;;15.08 ± 0.24;< 11.7;;14.31 ± 0.27;;< 12.0;< 12.8;< 14.0;13.91 ± 0.03;< 11.9 ;13.48 ± 0.33;;;;;
100219A;;;;;;;;;;;;;;;;;
100728B ;;;;;;;;;;;;;;;;;
110128A ;;;;;;;;;;;;;;;;;
110818A ;;;;;;;;;;;;;;;;;
111008A;;;;;;;;;;;;;;;;;
111107A;;;;;;;;;;;;;;;;;
120119A;;;;;;;;;;;;;;;;;
120327A;;;;;;;;;;;;;;;;;
120404A;;;;;;;;;;;;;;;;;
120712A;;;;;;;;;;;;;;;;;
120716A;;;;;;;;;;;;;;;;;
120815A;;;;;;;;;;;;;;;;;
120909A;;;;;;;;;;;;;;;;;
121024A;;;;;;;;;;;;;;;;;
121027A;;;;;;;;;;;;;;;;;
121201A;;;;;;;;;;;;;;;;;
121229A;;;;;;;;;;;;;;;;;
130408A;;;;;;;;;;;;;;;;;
130427B;;;;;;;;;;;;;;;;;
130606A;;;;;;;;;;;;;;;;;
130612A;;;;;;;;;;;;;;;;;
131011A;;;;;;;;;;;;;;;;;
131117A;;;;;;;;;;;;;;;;;
140311A;;;;;;;;;;;;;;;;;
140430A;;;;;;;;;;;;;;;;;
140515A;;;;;;;;;;;;;;;;;
140614A;;;;;;;;;;;;;;;;;
141028A;;;;;;;;;;;;;;;;;
141109A;;;;;;;;;;;;;;;;;
150206A;;;;;;;;;;;;;;;;;
150403A;;;;;;;;;;;;;;;;;
150915A;;;;;;;;;;;;;;;;;
151021A;;;;;;;;;;;;;;;;;
151027B;;;;;;;;;;;;;;;;;
160203A;;;;;;;;;;;;;;;;;
160410A;;;;;;;;;;;;;;;;;
161014A;;;;;;;;;;;;;;;;;
161023A;;;;;;;;;;;;;;;;;
170202A;;;;;;;;;;;;;;;;;